normalized_name,description,category,price_usd,cash_price_usd,online_price_usd,pdf_price_usd,excel_codes,pdf_codes,sources
ingrams men 450ml,Ingrams men 450ml,005 - COSMETICS,2.94,2.8,2.94,,ING,,excel
ingrams moisture plus 450ml,Ingrams Moisture Plus 450ml,005 - COSMETICS,2.94,2.8,2.94,,IMP,,excel
ingrams original 450mls,Ingrams Original 450mls,005 - COSMETICS,2.94,2.8,2.94,,INGRO,,excel
ingrams senstive 450ml,Ingrams Senstive 450ml,005 - COSMETICS,,,0.0,,IGMS,,excel
ingrams tissue oi l450ml,Ingrams tissue oi l450ml,005 - COSMETICS,3.675,3.5,3.675,,INGMS,,excel
iso plus hair spry 240ml,Iso Plus Hair Spry 240ml,005 - COSMETICS,1.8900000000000001,1.8,1.8900000000000001,,ISP,,excel
isoplus edge control,Isoplus Edge Control,005 - COSMETICS,2.625,2.5,2.625,,ISOP,,excel
jade soap,Jade Soap,019 - TOILETRIES,0.8400000000000001,0.8,0.8400000000000001,,JAD,,excel
jasmine rice 2kg,Jasmine Rice 2kg,016 - STARCH,,,0.0,,JAS,,excel
jik 750ml,Jik 750ml,004 - CLEANING PRODUCTS,2.1,2.0,2.1,,JK,,excel
joe biscuits,Joe Biscuits,012 - SNACK,0.34650000000000003,0.33,0.34650000000000003,,JOE,,excel
johnson aqueous 350ml,Johnson Aqueous 350ml,001 - BABY,2.625,2.5,2.625,,JOHA,,excel
johnson baby soap 175g,Johnson Baby soap 175g,001 - BABY,1.26,1.2,1.26,,JOHN,,excel
johnson jelly 325ml,Johnson Jelly 325ml,001 - BABY,2.625,2.5,2.625,,JOH,,excel
johnson wipes,Johnson Wipes,001 - BABY,,,0.0,,WIPJOHN,,excel
juice it 250ml,Juice it 250ml,002 - BEVERAGES,0.525,0.5,0.525,,JUC,,excel
juicyplus 5l,Juicyplus 5L,002 - BEVERAGES,,,0.0,,JUIPC,,excel
juicyplus crush 5l,JuicyPlus Crush 5L,002 - BEVERAGES,,,0.0,,JICP,,excel
jumbo pack,Jumbo Pack,012 - SNACK,,,0.0,,JMBO,,excel
jumbo single,Jumbo single,012 - SNACK,,,0.0,,JUMSNG,,excel
jupiter 75g,Jupiter 75g,012 - SNACK,,,0.0,,JPT,,excel
kambucha,Kambucha,002 - BEVERAGES,,,0.0,,KAMBU,,excel
kambucha no 3,Kambucha No.3,002 - BEVERAGES,1.05,1.0,1.05,,KAMB,,excel
kefalos dairy juice 200ml,Kefalos Dairy/Juice 200ml,002 - BEVERAGES,0.525,0.5,0.525,,KEF,,excel
kingkurls pack,KingKurls Pack,012 - SNACK,3.675,3.5,3.675,,KING,,excel
kingkurls single,KingKurls Single,012 - SNACK,0.525,0.5,0.525,,KNG,,excel
kiss,Kiss,012 - SNACK,,,0.0,,KIS01,,excel
kiwi 100ml,Kiwi 100ml,004 - CLEANING PRODUCTS,2.1,2.0,2.1,,KWI,,excel
kiwi polish 50ml,Kiwi Polish 50ml,004 - CLEANING PRODUCTS,1.05,1.0,1.05,,KIW,,excel
knock dishwasher 750ml,Knock Dishwasher 750ml,004 - CLEANING PRODUCTS,1.05,1.0,1.05,,KNCK,,excel
knock out satchet,Knock out Satchet,004 - CLEANING PRODUCTS,0.525,0.5,0.525,,KNOC,,excel
knockout all purpose cleaner 500ml,Knockout All Purpose Cleaner 500ml,004 - CLEANING PRODUCTS,1.05,1.0,1.05,,KNOA,,excel
knockout bleach,Knockout Bleach,004 - CLEANING PRODUCTS,1.575,1.5,1.575,,KNOCT,,excel
knockout can,Knockout Can,004 - CLEANING PRODUCTS,1.05,1.0,1.05,,KNO,,excel
knockout dishwasher 2l,Knockout Dishwasher 2L,004 - CLEANING PRODUCTS,2.1,2.0,2.1,,KNOCK,,excel
knorr soup,Knorr Soup,013 - SOUPS,0.525,0.5,0.525,,KNOR,,excel
kotex pads 10s,Kotex pads 10s,019 - TOILETRIES,1.575,1.5,1.575,,KOT,,excel
kotex pant liners,Kotex Pant Liners,019 - TOILETRIES,,,0.0,,PANT,,excel
krema biscuits,Krema Biscuits,012 - SNACK,,,0.0,,KRE,,excel
lace lotion,Lace Lotion,005 - COSMETICS,3.15,3.0,3.15,,LACE,,excel
lakkernax,LakkerNax,012 - SNACK,1.8900000000000001,1.8,1.8900000000000001,,LAKK,,excel
lays 125g,Lays 125g,012 - SNACK,1.575,1.5,1.575,,LAYS,,excel
lays 23g,Lays 23g,012 - SNACK,,,0.0,,LYS,,excel
lemon pnt,Lemon - Pnt,,1.0,,,1.0,,VLEEKB,pdf
lettuce,Lettuce,013 - SOUPS,,,0.0,,LETT,,excel
lettuce head,Lettuce - Head,,1.0,,,1.0,,VLET01,pdf
