normalized_name,description,category,price_usd,cash_price_usd,online_price_usd,pdf_price_usd,excel_codes,pdf_codes,sources
chicken curls,Chicken curls,012 - SNACK,,,0.0,,CHI,,excel
chicken flings,Chicken Flings,012 - SNACK,,,0.0,,CHIC,,excel
chicken full,Chicken full,013 - SOUPS,,,0.0,,CHCK,,excel
chimera 500g,Chimera - 500g,,2.0,,,2.0,,NCB02,pdf
chippa,Chippa,012 - SNACK,,,0.0,,CHPP,,excel
chocalate coated small,Chocalate Coated Small,012 - SNACK,0.525,0.5,0.525,,CHOCC,,excel
chocolate coated biscuits,Chocolate Coated Biscuits,012 - SNACK,1.575,1.5,1.575,,CHO,,excel
chocolate coated box,Chocolate coated Box,012 - SNACK,,,0.0,,CHOCCB,,excel
choice biscuits,Choice Biscuits,012 - SNACK,1.575,1.5,1.575,,CHOI,,excel
chompkins 150g,Chompkins 150g,012 - SNACK,1.365,1.3,1.365,,CHOMP,,excel
chompkins 25g,Chompkins 25g,012 - SNACK,,,0.0,,CHMP,,excel
citro juice 1l,Citro Juice 1L,002 - BEVERAGES,1.05,1.0,1.05,,CIT,,excel
clere beautiful cream 400ml,Clere Beautiful Cream 400ml,005 - COSMETICS,2.1,2.0,2.1,,CBL,,excel
clere for men 450ml,Clere For Men 450ml,005 - COSMETICS,2.1,2.0,2.1,,CFM,,excel
clere glycerine 100ml,Clere Glycerine 100ml,005 - COSMETICS,1.05,1.0,1.05,,CLG,,excel
clere glyco glycerine 100ml,Clere Glyco Glycerine 100ml,005 - COSMETICS,1.26,1.2,1.26,,CLR,,excel
clere ladies cream,Clere Ladies Cream,005 - COSMETICS,2.1,2.0,2.1,,CLRE,,excel
clere men lotion 400ml,Clere Men lotion 400ml,005 - COSMETICS,2.1,2.0,2.1,,CLM,,excel
close up,Close Up,019 - TOILETRIES,1.05,1.0,1.05,,CLO,,excel
cobra 350ml,Cobra 350ml,004 - CLEANING PRODUCTS,2.625,2.5,2.625,,COB,,excel
coco bongo choc,Coco Bongo Choc,012 - SNACK,,,0.0,,COC,,excel
colgate 100ml,Colgate 100ml,019 - TOILETRIES,1.05,1.0,1.05,,COL,,excel
comfort 1l,Comfort 1L,004 - CLEANING PRODUCTS,3.15,3.0,3.15,,COM,,excel
continental rice 2kg,Continental Rice 2kg,016 - STARCH,2.1,2.0,2.1,,CONT,,excel
cookies,Cookies,012 - SNACK,0.525,0.5,0.525,,COKI,,excel
cookmore rice 2kg,CookMore Rice 2kg,016 - STARCH,2.625,2.5,2.625,,COOKM,,excel
cookmore rice 5kg,Cookmore Rice 5kg,016 - STARCH,5.775,5.5,5.775,,COO,,excel
cornflakes bigtree 1kg,Cornflakes Bigtree - 1kg,003 - CEREALS,4.2,4.0,4.2,,CORNBG,,excel
cornflakes bigtree 500g,Cornflakes Bigtree - 500g,003 - CEREALS,2.415,2.3,2.415,,CORNBG02,,excel
cornflakes bigtree 750g,Cornflakes Bigtree - 750g,003 - CEREALS,3.3600000000000003,3.2,3.3600000000000003,,CORNFBG,,excel
cornflakes kellogs 1kg,Cornflakes Kellogs - 1kg,003 - CEREALS,4.725,4.5,4.725,,KELCORNF,,excel
